罪	つみ	crime, sin, wrongdoing, indiscretion / penalty, sentence, punishment / fault, responsibility, culpability / thoughtlessness, lack of consideration
たこ	たこ	callus, callosity, corn
定理	ていり	theorem, proposition
文章	ぶんしょう, もんじょう, もんぞう	writing, composition, essay, article, passage, prose, (writing) style / sentence
紹介	しょうかい	introduction, presentation, referral
債務者	さいむしゃ	debtor
ものの	ものの	although, though, despite the fact that ...
経済	けいざい	economy, economics / finance, (one's) finances, financial circumstances / being economical, economy, thrift
之	これ	this, this one / this person / now, this point (in time) / here / used to stress the subject of a sentence / I, me
政治	せいじ	politics, government
万	ばん	completely, absolutely, totally
実験	じっけん	experiment, experimentation
大きさ	おおきさ	size, dimensions, volume
言葉	ことば, けとば	language, dialect / word, phrase, expression, term / speech, (manner of) speaking, (use of) language / words, remark, statement, comment / learning to speak, language acquisition
出す	だす	to take out, to get out / to put out, to reveal, to show / to submit (e.g. thesis), to turn in / to publish, to make public / to send (e.g. letter) / to produce (a sound), to start (fire) / to serve (food) / ... out (e.g. to jump out, to carry out) / to begin ..., to start to ..., to burst into ...
なければ	なければ	if (it) doesn't exist, if there is no ..., if (one) doesn't have ... / if not ..., unless ... / have to ..., must ...
現代	げんだい	present age, present day, today / modern era, modern times
承認	しょうにん	recognition, acknowledgement, acknowledgment, approval, consent, agreement
時に	ときに	by the way, incidentally / sometimes, occasionally, on occasion / precisely (at that time), exactly, just (then), right (then)
整数	せいすう	integer
影響	えいきょう	influence, effect, impact
属する	ぞくする	to belong to, to come under, to be affiliated with, to be subject to
評価	ひょうか	valuation, appraisal, evaluation, assessment, estimation, rating, judging / appreciation, recognition, acknowledgement, rating highly, praising
取	とり	taking, taker, collecting, collector, remover, removal / last performer of the day (usu. the star performer), last performance of the day / active partner (e.g. in judo demonstration) / emphatic or formal prefix
だから	だから	so, therefore, accordingly, consequently, on those grounds, that is why, for that reason / like I said, I told you already
仕事	しごと	work, job, labor, labour, business, task, assignment, occupation, employment / work
決議	けつぎ	resolution, vote, decision
イオン	イオン	ion
写本	しゃほん	manuscript (book), written copy of a book, codex, transcription, copying
成り	なり	promoted (of a piece)
あなた	あなた	you / dear, honey
生物	せいぶつ	living thing, organism, creature, life / biology
以降	いこう	on and after, from ... onward, since
フランス	フランス	France
管理者	かんりしゃ	manager, administrator, landlord, warden, superintendent, supervisor, custodian / root (user)
ホ	ホ	5th in a sequence denoted by the iroha system, 5th note in the diatonic scale (used in key names, etc.)
先	さっき	a short while ago, a moment ago, just now, some time ago
ウィキ	ウィキ	wiki / Wikipedia
エラ	エラ	gills, branchia / angle of the mandible, gonial angle
代入	だいにゅう	substitution / assignment
分割	ぶんかつ	partition, division, separation, segmenting, splitting
方程式	ほうていしき	equation, formula / method for solving a problem, set way of achieving a particular result
作る	つくる	to make, to produce, to manufacture, to build, to construct / to prepare (food), to brew (alcohol) / to raise, to grow, to cultivate, to train / to till / to draw up (a document), to make out, to prepare, to write / to create (an artistic work, etc.), to compose / to coin (a phrase), to organize, to organise, to establish, to found / to have (a child) / to make up (one's face, etc.) / to fabricate (an excuse, etc.) / to give a (false) appearance, to feign (a smile, etc.), to put on a show of emotion / to form (a line, etc.) / to set (a record) / to commit (a sin, etc.)
出来	しゅったい, しゅつらい	occurrence, happening, taking place / completion
年度	ねんど	fiscal year (usu. April 1 to March 31 in Japan), financial year / academic year, school year / product year
こ	こ	doing, in such a state / doing together, doing to each other, contest, match / familiarizing suffix (sometimes meaning "small")
主張	しゅちょう	claim, insistence, assertion, advocacy, emphasis, contention, opinion, tenet
民法	みんぽう	civil law, civil code
分類	ぶんるい	classification, categorization, sorting
